PipelineRange,CurrentOppAmt,IsWon,QualifiedAmt,OwnerTitle,SalesOffice,SalesRegion,Industry,NumerOfEmployees,AccountScore,OppId,IsClosed,DaysPushed,MonthsOpen,OppClosedDate
p4-6,1700,1,1700,Regional Sales Team Lead,Atlanta,Southern,Finance,184235,28,0062S00000sNFjtQAG,1,69,4,8/6/2019
p0-3,51,1,NULL,Account Executive,Inside Sales,SMB,Technology,2,23,0062S00000sNFJxQAO,1,0,0,4/1/2019
p10-12,500,0,500,Senior Account Executive,Newark,New York,Insurance,49739,96,0062S00000sNFqkQAG,1,69,11,3/9/2020
p13+,2575,0,NULL,Customer Success Manager,Support,Customer Success,Manufacturing,130,34,0062S00000sNGEIQA4,1,548,21,1/29/2021
p0-3,425,0,500,Senior Account Executive,Birmingham,Southern,Manufacturing,500,41,0062S00000sNGmAQAW,1,31,1,5/31/2019
p4-6,72,0,500,NULL,Newark,New York,Education,953,54,0062S00000sNGy1QAG,1,153,5,9/30/2019
p7-9,300,0,500,Senior Account Executive,Richmond,Coastal,Finance,250,33,0062S00000txf8DQAQ,1,0,7,2/13/2020
p0-3,57,1,NULL,Senior Account Executive,Partnership,Channel Sales,Manufacturing,8000,80,0062S00000txfm1QAA,1,0,0,7/31/2019
p4-6,500,0,500,Senior Account Executive,Washington DC,Mid Atlantic,Professional Services,365,41,0062S00000txfY1QAI,1,126,6,1/24/2020
p10-12,488,1,500,Senior Account Executive,Boston,New England,Education,300,30,0062S00000txg7oQAA,1,30,11,6/30/2020
p13+,1000,0,1000,Senior Account Executive,Milwaukee,Central,Electronics,3200,67,0062S00000txgpgQAA,0,501,20,4/30/2021
p0-3,577,1,500,Senior Account Executive,Richmond,Coastal,Other,474,27,0062S00000txgX8QAI,1,0,1,8/26/2019
p4-6,1780,1,1790,Senior Account Executive,San Antonio,Red River,Government,3518,54,0062S00000txHiRQAU,1,9,5,12/9/2019
p0-3,800,0,800,Senior Account Executive,Detroit,Mid Western,Ambulatory Health Care Services,345,33,0062S00000txn4bQAA,1,61,2,10/31/2019
p0-3,64,1,300,Account Executive,San Diego,SoCal,Healthcare,15,26,0062S00000txN8AQAU,1,0,1,8/31/2019
p0-3,1,1,NULL,Internal Accounts Manager,Support,Customer Success,Manufacturing,200,30,0062S00000tzUlQQAU,1,0,0,10/25/2019
p13+,500,0,500,Senior Account Executive,Nashville,Coastal,Healthcare,5820,36,0062S00000tzXCgQAM,1,33,13,11/2/2020
p4-6,2727,0,2727,Senior Account Executive,Washington DC,Mid Atlantic,Utilities,4000,79,0062S00000tzXfJQAU,1,88,4,2/25/2020
p0-3,500,0,500,Senior Channel Account Manager,Partnership,Channel Sales,Government,0,20,0062S00000tzXr0QAE,1,2,3,1/31/2020
p10-12,500,0,500,Senior Account Executive,Philadelphia,Mid Atlantic,Education,146,26,0062S00000tzZaaQAE,1,0,11,9/8/2020
p10-12,500,0,500,Senior Account Executive,Newark,New York,Retail,3400,24,0062S00000tzZehQAE,1,214,12,10/31/2020
p0-3,10,0,500,Senior Account Executive,Newark,New York,Retail,3400,24,0062S00000tzZewQAE,1,0,3,1/31/2020
p0-3,4233,1,4233,Senior Account Executive,San Antonio,Red River,Electronics,1252,67,0062S00000tzZhMQAU,1,0,0,10/31/2019
p13+,2500,0,1000,Account Executive,Chicago,Central,Not For Profit,475,30,0062S00000tzZYFQA2,0,670,17,8/31/2021
p10-12,1007,0,1000,Senior Account Executive,Oklahoma City,Rocky Mountain,Banking,127,29,0062S00000tzbdRQAQ,1,204,12,11/20/2020
p10-12,500,0,500,Senior Account Executive,Charlotte,Coastal,Retail,2300,50,0062S00000tzBOGQA2,1,167,11,9/30/2020
p0-3,500,0,500,Senior Account Executive,Enterprise,Enterprise,Consulting,1100,51,0062S00000tzcGOQAY,1,0,0,11/1/2019
p13+,500,0,NULL,Senior Account Executive,Washington DC,Mid Atlantic,Healthcare,605,51,0062S00000tzDEXQA2,1,0,14,12/31/2020
p0-3,112,1,100,Internal Accounts Manager,Support,Customer Success,US Municipal Governments,363,30,0062S00000tzEG5QAM,1,16,2,12/16/2019
p4-6,500,0,500,Senior Account Executive,Richmond,Coastal,Education,6414,49,0062S00000tzFKSQA2,1,0,4,2/27/2020
p7-9,500,0,NULL,Enterprise Account Executive,Enterprise,Enterprise,Transportation,31511,93,0062S00000tzFzVQAU,1,0,8,6/30/2020
p0-3,485,1,487,NULL,Dallas,Red River,Banking,500,42,0062S00000tzg7eQAA,1,5,0,11/30/2019
p0-3,280,1,280,Senior Account Executive,Washington DC,Mid Atlantic,Professional Services,280,49,0062S00000tzgp2QAA,1,0,-2,9/30/2019
p10-12,133,0,100,NULL,Grand Rapids,Mid Western,Healthcare,1500,60,0062S00000vO1H7QAK,0,215,12,1/31/2021
p0-3,40,0,40,Customer Success Manager,Partnership,Channel Sales,Finance,220,29,0062S00000vO2DlQAK,1,11,3,6/22/2020
p7-9,2083,0,751,Senior Account Executive,San Antonio,Red River,Government,12000,91,0062S00000vO2i0QAC,1,64,9,12/3/2020
p0-3,500,0,500,Senior Account Executive,Newark,New York,Electronics,1000,48,0062S00000vNQZeQAO,1,0,1,3/27/2020
p10-12,500,0,500,Senior Account Executive,Birmingham,Southern,Electronics,814,48,0062S00000vNRWwQAO,1,0,12,2/26/2021
p0-3,32,0,32,Customer Success Manager,Partnership,Channel Sales,Electronics,50,23,0062S00000vNSMhQAO,1,58,2,4/14/2020
p0-3,500,0,500,Senior Account Executive,Washington DC,Mid Atlantic,Government,0,20,0062S00000vYLyfQAG,1,0,1,8/10/2020
p0-3,700,0,700,Senior Account Executive,Louisville,Coastal,Healthcare,63300,98,0062S00000vYM81QAG,1,0,0,7/20/2020
p0-3,96,0,100,Senior Account Executive,Newark,New York,Healthcare,50,27,0062S00000vYMJTQA4,1,32,1,8/11/2020
p0-3,5000,0,5000,Senior Account Executive,Chicago,Central,Technology,9000,85,0062S00000vYMuPQAW,1,0,0,7/10/2020
p4-6,8886,0,6000,Senior Account Executive,Chicago,Central,Technology,9000,85,0062S00000vYMvSQAW,1,0,4,11/2/2020
p13+,1000,0,1000,Senior Account Executive,San Diego,SoCal,Education,30000,60,0062S00000vYmwhQAC,0,0,7,10/31/2021
p13+,500,0,500,Senior Account Executive,Boston,New England,Insurance,500,42,0062S00000vYmwYQAS,0,0,7,12/31/2021
p0-3,958,0,1,Senior Account Executive,Richmond,Coastal,Advertising / Marketing,600,37,0062S00000vYnDiQAK,1,0,1,9/16/2020
p4-6,300,0,NULL,Account Executive,Newark,New York,Newspaper Publishers,550,46,0062S00000vYTe9QAG,1,0,5,12/2/2020
p0-3,200,0,NULL,Account Executive,Newark,New York,Hospitals / Health Care,80,31,0062S00000vYVJ8QAO,1,30,3,10/30/2020
p10-12,1000,0,1000,Customer Success Manager,Support,Customer Success,Manufacturing,500,28,0062S00000xHybjQAC,0,0,7,8/4/2021
p0-3,500,0,500,Senior Account Executive,Boston,New England,Chemicals,400,30,0062S00000xHyF9QAK,0,0,7,10/31/2020
p0-3,431,1,NULL,Senior Channel Account Manager,Partnership,Channel Sales,Legal Services,290,30,0062S00000xI07eQAC,1,0,0,8/7/2020
p0-3,101,1,NULL,Senior Account Executive,St Louis,Central,Technology,265,30,0062S00000xI0DPQA0,1,59,2,10/29/2020
p0-3,15,0,0,Senior Channel Account Manager,Partnership,Channel Sales,Manufacturing,3100,47,0062S00000xI0IKQA0,1,1,1,9/1/2020
p4-6,1386,0,1386,Senior Account Executive,Oklahoma City,Rocky Mountain,Banking,127,29,0062S00000xI2LaQAK,1,119,5,1/27/2021
p13+,500,0,500,Senior Account Executive,Hartford,New England,Wholesale Sector,250,30,0062S00000xI2UcQAK,0,0,7,3/31/2023
p0-3,299,1,811,Senior Account Executive,Boston,New England,Insurance,150,25,0062S00000xI2whQAC,1,17,1,9/17/2020
p7-9,585,0,585,Senior Account Executive,Salt Lake City,Rocky Mountain,Electronics,546,48,0062S00000xI3PYQA0,0,243,7,5/31/2021
p13+,1000,0,1000,Senior Account Executive,Baltimore,Mid Atlantic,Consulting,12000,87,0062S00000xJ219QAC,0,0,5,12/31/2021
p7-9,89,0,100,Account Executive,Inside Sales,SMB,Entertainment,1900,43,0062S00000xIWhOQAW,0,0,6,6/30/2021
p13+,500,0,500,Senior Account Executive,Hartford,New England,Electric Utilities,6801,72,0062S00000xIwI8QAK,0,365,5,6/30/2022
p7-9,3031,0,3500,Senior Account Executive,Richmond,Coastal,Telecommunications,1303,63,0062S00000xIWJWQA4,0,243,6,5/31/2021
p10-12,1000,0,1000,Senior Account Executive,Los Angeles,SoCal,Colleges & Universities,1200,49,0062S00000xIWzNQAW,0,0,6,8/31/2021
p4-6,44358.35,1,46693,Senior Account Executive,Nashville,Coastal,Technology,15000,87,0062S00000xIXnIQAW,1,92,4,1/31/2021
p7-9,500,0,500,Senior Account Executive,Kansas City,Rocky Mountain,Energy / Utilities,3499,72,0062S00000xIxqbQAC,0,212,5,6/30/2021
p0-3,1401,0,NULL,Hardware Consultant/Sales,Denver,Rocky Mountain,Real Estate,400,22,0062S00000xIyaUQAS,1,11,1,11/11/2020
p0-3,510,1,690,Senior Account Executive,Orlando,Southern,Finance,925,70,0062S00000xIyMcQAK,1,57,3,1/26/2021
p0-3,500,0,500,Account Executive,Inside Sales,SMB,Government,700,35,0062S00000xJPEbQAO,1,0,2,1/31/2021
p4-6,1000,0,1000,Senior Account Executive,San Diego,SoCal,Scientific Research & Development Servic,1000,51,0062S00000xJpl5QAC,0,0,3,5/31/2021
p0-3,24895,0,500,Senior Account Executive,Newark,New York,Telecom / Communication Services,144500,94,0062S00000xJq2zQAC,0,0,3,3/31/2021
p0-3,693,0,394,Senior Account Executive,Philadelphia,Mid Atlantic,Hospitals / Health Care,9906,70,0062S00000xJQ3yQAG,1,15,1,12/15/2020
p10-12,200,0,200,Customer Success Manager,Support,Customer Success,Transportation,450,30,0062S00000xJqDEQA0,0,0,3,12/30/2021
